Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NS^B,Nustar Energy L.P.,18.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ns^b
NS^C,Nustar Energy L.P.,20.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ns^c
NSS,"NuStar Logistics, L.P.",20.4,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nss
NTR,Nutrien Ltd.,32.86,$18.73B,2018,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/ntr
NVG,Nuveen AMT-Free Municipal Credit Income Fund,14.21,$3.03B,2002,n/a,n/a,https://old.nasdaq.com/symbol/nvg
NUV,Nuveen AMT-Free Municipal Value Fund,9.5,$1.97B,1987,n/a,n/a,https://old.nasdaq.com/symbol/nuv
NUW,Nuveen AMT-Free Municipal Value Fund,14.865,$230.65M,2009,n/a,n/a,https://old.nasdaq.com/symbol/nuw
NEA,Nuveen AMT-Free Quality Municipal Income Fund,13.3,$3.71B,2002,n/a,n/a,https://old.nasdaq.com/symbol/nea
NAZ,Nuveen Arizona Quality Municipal Income Fund,12.56,$145.33M,1992,n/a,n/a,https://old.nasdaq.com/symbol/naz
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,14.08,$669.09M,2002,n/a,n/a,https://old.nasdaq.com/symbol/nkx
NCB,Nuveen California Municipal Value Fund 2,13.93,$46.01M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncb
NCA,"Nuveen California Municipal Value Fund, Inc.",9.84,$276.42M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nca
NAC,Nuveen California Quality Municipal Income Fund,13.55,$1.96B,1999,n/a,n/a,https://old.nasdaq.com/symbol/nac
JCE,Nuveen Core Equity Alpha Fund,12.07,$193.47M,2007,n/a,n/a,https://old.nasdaq.com/symbol/jce
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,7.45,$206.56M,2017,n/a,n/a,https://old.nasdaq.com/symbol/jco
JQC,Nuveen Credit Strategies Income Fund,5.67,$768.9M,2003,n/a,n/a,https://old.nasdaq.com/symbol/jqc
JDD,Nuveen Diversified Dividend and Income Fund,7.33,$144.67M,2003,n/a,n/a,https://old.nasdaq.com/symbol/jdd
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,13.23,$481.13M,2014,n/a,n/a,https://old.nasdaq.com/symbol/diax
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,6.358,$90.57M,2017,n/a,n/a,https://old.nasdaq.com/symbol/jemd
NEV,Nuveen Enhanced Municipal Value Fund,13.11,$327.1M,2009,n/a,n/a,https://old.nasdaq.com/symbol/nev
JFR,Nuveen Floating Rate Income Fund,7.46,$424.61M,2004,n/a,n/a,https://old.nasdaq.com/symbol/jfr
