Symbol
COMS
KDE
SVNX
ABT
ANF
ABGX
ADPT
ADBE
ADIC
AMD
ADVS
ARXX
AES
AET
AFFX
AFL
A
APD
AKAM
ACV
ABS
AL
AA
ATI
AGN
AW
ALL
AT
ALTR
AMZN
AEP
AM
AIG
APCC
AHC
AEE
AEOS
AXP
AMTD
AMGN
AMR
ASO
APC
ADI
ANDW
ADRX
BUD
TWX
AOC
APA
AAPL
APPB
AMAT
AMCC
ADM
ARIA
ARBA
ARW
ASH
ASKJ
T
AWE
ADSK
ADP
AZO
AVY
AVA
AVP
BHI
BLL
BAC
BK
ONE
BCR
BKS
ABX
BOL
BAX
BBT
BCE
BEAS
BSC
BDX
BBBY
BLS
BMS
BBY
BLI
BMET
BBH
BDK
HRB
BBI
BMC
BA
BCC
BSX
BP
BGG
BMY
BSY
BTY
BRCM
BRCD
BC
BNI
BR
CPN
CPB
COF
CAH
CCL
CAT
CRA
CELG
CD
CTX
CTL
CEN
CF
CHKP
CVX
CHL
CHINA
CHIR
CB
CI
CINF
CIN
CC
CSCO
C
CTXS
CCU
CLX
CMGI
CMS
CNET
COKE
KO
CCE
CL
CMCSK
CMA
CMRC
CA
CSC
CPWR
CMVT
CAG
ED
CEG
CAL
CVG
CBE
CTB
RKY
GLW
COST
COX
CR
CREE
CCK
CSX
CRGN
CVS
CYTO
DCX
DCN
DHR
DRI
DE
DELL
DPH
DAL
DEL
DLX
DIA
DDS
DIS
DVSA
DG
DLTR
D
DCLK
DOV
DOW
DJ
DRYR
DTE
DUK
DNB
DD
DPMI
ELNK
EMN
EK
ETN
EBAY
ELON
DISH
ECL
EIX
ERTS
EDS
EMC
EMR
EC
ETR
ENZ
EFX
ERICY
ET
XOM
FRE
FNM
FD
FDX
FITB
FDC
FE
FLEX
FLR
FMC
F
FO
FOSL
FDRY
FOX
FPL
BEN
FCX
FCEL
GCI
GPS
GTW
DNA
GM
GD
GE
GIS
OSCI
GPC
GP
G
GDW
GR
GT
GOOG
GRA
GWW
GAP
GLK
GES
GDT
HAL
HDI
HET
HIG
HAS
HCA
HLTH
HNZ
HELX
HP
HPC
HSY
HLT
HD
HMC
HON
HOTT
HGSI
HUM
HBAN
ITW
RX
N
INCY
INSP
INFY
IR
INTC
ICGE
IPG
ISIL
INTL
IBM
IFF
IP
INTU
ITT
JBL
JKHY
JBX
JP
JNJ
JCI
JNPR
KBH
KEI
K
KMG
KEY
KEYN
KMB
KLAC
KRI
KSS
KKD
KR
KSWS
KYO
LRCX
LEG
LEH
LXK
LLY
LNC
LLTC
LIZ
LMT
LTR
LDG
LPX
LOW
HCR
MAR
MMC
MSO
MAS
MONE
MAT
MXIM
MAY
MYG
MBI
KRB
MDR
MCD
MHP
MCK
MEDX
MEDI
MDT
MEL
MRK
MERQ
MDP
MER
MET
MGM
MTG
MGG
MU
MSFT
MSTR
MLNM
MIL
MMM
MOLX
JPM
MWD
MOT
MYGN
QQQ
NCC
NSM
NAV
NCR
NTAP
NYT
NWL
NEM
NEWP
NXTL
NXTP
GAS
NKE
NIKU
NOK
JWN
NSC
NTRS
NOC
NOVL
NVLS
NUE
NVDA
OO
OXY
ODP
OMC
OKE
ONVI
ORCL
OSIS
OSI
OI
PCAR
PSUN
PTV
PLL
PZZA
PMTC
PH
PAYX
PSS
CRA
JCP
PGL
PSFT
PBY
PBG
PEP
PKI
PFE
PCG
PD
MO
PHG
PNW
PBI
PIXR
PDG
PLUG
PMCS
PNC
RL
PCH
PWAV
PPG
PPL
PX
PCLN
PG
PGR
PDLI
PVN
PEG
PHM
QGENF
QLGC
QLTI
QCOM
QSFT
ZQK
RSH
RMBS
RTN
RHAT
RBK
REGN
RCOM
RIMM
RMD
RFMD
ROK
ROH
RDC
RD
RML
R
TSG
SAFC
SWY
SLAB
SNDK
SANM
SAPE
SLE
SBC
SGP
SLB
SCH
SFA
SEE
S
SRE
SC
SHW
SEBL
SIAL
SILI
SKX
SLM
SNA
SNE
SO
SOTR
LUV
FON
STJ
SWK
SPLS
SBUX
STT
SUN
STI
SVU
SBL
SNV
SYY
TROW
TGT
TEK
TLAB
TIN
THC
TER
TXN
TXT
LTD
TMO
TNB
TIBX
TIF
TBL
TKR
TTN
TJX
TOM
TMK
TM
TOY
RIG
TRB
YUM
TUP
TXU
TYC
USB
UN
UNP
UPC
UIS
UPS
USM
UTX
UNH
UVV
UVN
UCL
UNM
UST
MRO
X
UTSI
VANS
VRSN
VZ
VRTS
VFC
VIA
VC
VOD
VMC
WB
WAG
WMT
WM
WMI
WPI
WLP
WFC
WEN
WY
WHR
WMB
WOR
WWY
WWE
XRX
XLNX
YHOO
ZIGO
