Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VNQI,Vanguard Global ex-U.S. Real Estate ETF,44.4,$4.27B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vnqi
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,91.59,$28.11B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vcit
VGIT,Vanguard Intermediate-Term Treasury ETF,70.33,$6.15B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vgit
VIGI,Vanguard International Dividend Appreciation ETF,62.8,$1.89B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vigi
VYMI,Vanguard International High Dividend Yield ETF,48.04,$1.16B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vymi
VCLT,Vanguard Long-Term Corporate Bond ETF,101.18,$3.55B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vclt
VGLT,Vanguard Long-Treasury ETF,99.59,$2.01B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vglt
VMBS,Vanguard Mortgage-Backed Securities ETF,54.49,$10.97B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vmbs
VONE,Vanguard Russell 1000 ETF,134.91,$1.3B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vone
VONG,Vanguard Russell 1000 Growth ETF,184.17,$3.71B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vong
VONV,Vanguard Russell 1000 Value ETF,96.41,$2.29B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vonv
VTWO,Vanguard Russell 2000 ETF,106.79,$1.4B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtwo
VTWG,Vanguard Russell 2000 Growth ETF,139.71,$314.35M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtwg
VTWV,Vanguard Russell 2000 Value ETF,78.89,$256.39M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtwv
VTHR,Vanguard Russell 3000 ETF,133.5,$534M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vthr
VCSH,Vanguard Short-Term Corporate Bond ETF,81.38,$25.23B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vcsh
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,49.7,$7.13B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtip
VGSH,Vanguard Short-Term Treasury ETF,62.23,$8.51B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vgsh
BND,Vanguard Total Bond Market ETF,87.19,$52.3B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bnd
VTC,Vanguard Total Corporate Bond ETF,88.575,$405.67M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtc
BNDX,Vanguard Total International Bond ETF,57.11,$26.55B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,45.94,$18.16B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vxus
BNDW,Vanguard Total World Bond ETF,80.5065,$335.71M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bndw
VREX,Varex Imaging Corporation,18.72,$731.95M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/vrex
VRNS,"Varonis Systems, Inc.",76.1,$2.39B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/vrns
VBLT,Vascular Biogenics Ltd.,1.19,$50.57M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vblt
VXRT,"Vaxart, Inc.",2.87,$212.91M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/vxrt
VBIV,"VBI Vaccines, Inc.",2.17,$139.05M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vbiv
VTIQ,VectoIQ Acquisition Corp.,21.83,$647.04M,2018,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/vtiq
VTIQU,VectoIQ Acquisition Corp.,28.8,n/a,2018,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/vtiqu
VTIQW,VectoIQ Acquisition Corp.,6.8991,$204.49M,2018,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/vtiqw
VECO,Veeco Instruments Inc.,11.2,$553.6M,1994,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/veco
VERO,Venus Concept Inc. ,2.52,$81.13M,2017,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/vero
VEON,VEON Ltd.,1.47,$2.57B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/veon
VRA,"Vera Bradley, Inc.",4.8,$159.86M,2010,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/vra
VCYT,"Veracyte, Inc.",26.24,$1.31B,2013,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/vcyt
VSTM,"Verastem, Inc.",1.8,$292.56M,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vstm
VERB,"Verb Technology Company, Inc.",1.2522,$37.43M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/verb
VERBW,"Verb Technology Company, Inc.",0.3,n/a,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/verbw
VCEL,Vericel Corporation,15.54,$701.02M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/vcel
VERY,"Vericity, Inc.",12.9,$191.89M,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/very
VRNT,Verint Systems Inc.,43.53,$2.81B,2002,Technology,EDP Services,https://old.nasdaq.com/symbol/vrnt
VRSN,"VeriSign, Inc.",217.08,$25.08B,1998,Technology,EDP Services,https://old.nasdaq.com/symbol/vrsn
VRSK,"Verisk Analytics, Inc.",158.32,$25.69B,2009,Technology,EDP Services,https://old.nasdaq.com/symbol/vrsk
VBTX,"Veritex Holdings, Inc.",16.57,$834.78M,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/vbtx
VERI,"Veritone, Inc.",6.99,$189.32M,2017,Technology,EDP Services,https://old.nasdaq.com/symbol/veri
VRML,"Vermillion, Inc.",2.57,$250.26M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/vrml
VRNA,Verona Pharma plc,4.22,$56.03M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vrna
VRRM,Verra Mobility Corporation,10.09,$1.63B,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/vrrm
VRCA,Verrica Pharmaceuticals Inc.,10.63,$274.41M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vrca
VTNR,"Vertex Energy, Inc",0.6701,$30.53M,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/vtnr
VRTX,Vertex Pharmaceuticals Incorporated,284.13,$73.67B,1991,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vrtx
VERU,Veru Inc.,3.9,$257.77M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/veru
VIAC,ViacomCBS Inc.,19.05,$11.72B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/viac
VIACA,ViacomCBS Inc.,22.45,$13.82B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/viaca
VSAT,"ViaSat, Inc.",38.66,$2.4B,1996,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/vsat
VIAV,Viavi Solutions Inc.,11.285,$2.57B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/viav
VICR,Vicor Corporation,56.35,$2.29B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/vicr
VCTR,"Victory Capital Holdings, Inc.",15.46,$1.05B,2018,Finance,Investment Managers,https://old.nasdaq.com/symbol/vctr
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,26.12,$49.63M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ciz
VSDA,VictoryShares Dividend Accelerator ETF,32.0554,$217.98M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vsda
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,18.7902,$23.49M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cey
CEZ,VictoryShares Emerging Market Volatility Wtd ETF,20.91,$38.68M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cez
CID,VictoryShares International High Div Volatility Wtd ETF,23.73,$58.14M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cid
CIL,VictoryShares International Volatility Wtd ETF,32.43,$74.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cil
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,50.49,$590.73M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfo
CFA,VictoryShares US 500 Volatility Wtd ETF,48.079,$663.49M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfa
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,36.4947,$36.49M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/csf
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,45.09,$550.1M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cdc
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,37.9254,$195.32M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cdl
VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,29.82,$150.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vsmv
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,33.8765,$67.75M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/csb
CSA,VictoryShares US Small Cap Volatility Wtd ETF,36.6904,$16.51M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/csa
VIE,"Viela Bio, Inc.",51.52,$2.63B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vie
VMD,"Viemed Healthcare, Inc.",7.81,$300.58M,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/vmd
VRAY,"ViewRay, Inc.",1.97,$290.38M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/vray
VKTX,"Viking Therapeutics, Inc.",7.13,$517.61M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vktx
VKTXW,"Viking Therapeutics, Inc.",5.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vktxw
VBFC,Village Bank and Trust Financial Corp.,28,$40.71M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/vbfc
VFF,"Village Farms International, Inc.",3.61,$203.06M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/vff
VLGEA,"Village Super Market, Inc.",23.4,$335.47M,n/a,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/vlgea
VIOT,"Viomi Technology Co., Ltd",5.96,$416.35M,2018,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/viot
VNOM,Viper Energy Partners LP,9.83,$1.56B,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/vnom
VIR,"Vir Biotechnology, Inc.",40.1,$4.73B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/vir
VIRC,Virco Manufacturing Corporation,2.11,$33.16M,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/virc
VTUS,Virgin Trains USA Inc.,n/a,n/a,2010,n/a,n/a,https://old.nasdaq.com/symbol/vtus
VTSI,"VirTra, Inc.",2.1306,$16.52M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/vtsi
VIRT,"Virtu Financial, Inc.",22.61,$4.36B,2015,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/virt
VRTS,"Virtus Investment Partners, Inc.",89.16,$686.13M,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/vrts
BBC,Virtus LifeSci Biotech Clinical Trials ETF,42.14,$42.14M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bbc
BBP,Virtus LifeSci Biotech Products ETF,47.0075,$47.01M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bbp
VRTU,Virtusa Corporation,29.29,$874.61M,2007,Technology,EDP Services,https://old.nasdaq.com/symbol/vrtu
VISL,"Vislink Technologies, Inc.",0.2888,$25.48M,2013,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/visl
VTGN,"VistaGen Therapeutics, Inc.",0.469,$23.42M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vtgn
VC,Visteon Corporation,69.48,$1.93B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/vc
VIVE,"Viveve Medical, Inc.",0.59,$8.9M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/vive
VVPR,VivoPower International PLC,0.9273,$12.57M,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/vvpr
VVUS,"VIVUS, Inc.",1.13,$20.19M,1994,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vvus
VOD,Vodafone Group Plc,15.71,$42.06B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vod
VG,Vonage Holdings Corp.,9.18,$2.25B,2006,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vg
VOXX,VOXX International Corporation,5.28,$126.55M,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/voxx
VYGR,"Voyager Therapeutics, Inc.",13.01,$483.85M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/vygr
VSEC,VSE Corporation,23.89,$263.82M,n/a,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/vsec
VTVT,vTv Therapeutics Inc.,2.9,$198.32M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vtvt
VUZI,Vuzix Corporation,2.3,$90.41M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/vuzi
WAFU,Wah Fu Education Group Limited,1.71,$7.49M,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/wafu
HLAL,Wahed FTSE USA Shariah ETF,25.33,$31.03M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hlal
WTRH,Waitr Holdings Inc.,2.63,$262.86M,2016,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/wtrh
WBA,"Walgreens Boots Alliance, Inc.",40.86,$35.84B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/wba
WSG,Wanda Sports Group Company Limited,2.56,$349.87M,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wsg
WAFD,"Washington Federal, Inc.",25.37,$1.92B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wafd
WASH,"Washington Trust Bancorp, Inc.",29.71,$512.75M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wash
WSBF,"Waterstone Financial, Inc.",14.35,$371.88M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/wsbf
WTRE,Watford Holdings Ltd.,12.47,$247.99M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wtre
WTREP,Watford Holdings Ltd.,23.1,$209.41M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/wtrep
WVE,WAVE Life Sciences Ltd.,10.43,$363.93M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/wve
WNFM,"Wayne Farms, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wnfm
WSTG,"Wayside Technology Group, Inc.",20.78,$90.42M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/wstg
WDFC,WD-40 Company,179.76,$2.46B,1973,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/wdfc
WB,Weibo Corporation,36.6,$8.29B,2014,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wb
WEBK,"Wellesley Bancorp, Inc.",30.94,$81.25M,2012,Finance,Banks,https://old.nasdaq.com/symbol/webk
WEN,Wendy&#39;s Company (The),20.57,$4.58B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/wen
WERN,"Werner Enterprises, Inc.",43.32,$2.99B,1986,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/wern
WSBC,"WesBanco, Inc.",20.45,$1.37B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wsbc
WTBA,West Bancorporation,17.3,$284.54M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtba
WABC,Westamerica Bancorporation,56.59,$1.52B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wabc
WSTL,"Westell Technologies, Inc.",0.7936,$12.47M,1995,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/wstl
WINC,Western Asset Short Duration Income ETF,23.873,$7.16M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/winc
WBND,Western Asset Total Return ETF,26.675,$101.37M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wbnd
WDC,Western Digital Corporation,42.38,$12.7B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/wdc
WNEB,"Western New England Bancorp, Inc.",5.35,$137.2M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/wneb
WPRT,Westport Fuel Systems Inc,1.155,$154.89M,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/wprt
WWR,"Westwater Resources, Inc.",1.72,$9.58M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/wwr
WEYS,"Weyco Group, Inc.",18.25,$179.09M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/weys
WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.2,$11.63M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlr
WHLRD,"Wheeler Real Estate Investment Trust, Inc.",9.0713,$32.66M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlrd
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",6.7246,$4.84M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlrp
WHF,"WhiteHorse Finance, Inc.",8.37,$171.97M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/whf
WHFBZ,"WhiteHorse Finance, Inc.",23.4,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/whfbz
WHLM,"Wilhelmina International, Inc.",4.88,$25.17M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/whlm
